rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_randomforestregressor__max_depth,param_randomforestregressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
57,2.59318528175354,0.025859992945097325,0.0801666259765625,0.009697975028517603,220,56,179,"{'columntransformer__countvectorizer__max_features': 220, 'randomforestregressor__max_depth': 56, 'randomforestregressor__n_estimators': 179}",-0.09671954012719568,-0.09522868666452108,-0.0905444106632881,-0.10081446339672168,-0.09455597404972015,-0.09557261498028934,0.00332346494595824,-0.03520585163274225,-0.03601147592247315,-0.03605453131614531,-0.03477135563434376,-0.035596425272625055,-0.0355279279556659,0.00048825330579137363
58,7.23314847946167,0.0423572572091277,0.1028329849243164,0.0054567357512008904,249,67,486,"{'columntransformer__countvectorizer__max_features': 249, 'randomforestregressor__max_depth': 67, 'randomforestregressor__n_estimators': 486}",-0.09669773783758112,-0.09535235224419004,-0.09056944552056984,-0.10112311100565483,-0.09412394517746078,-0.09557331835709133,0.003442463350890321,-0.03421753741138125,-0.03459756724224358,-0.034852577549369664,-0.03384343479678467,-0.03464347458716478,-0.034430918317388794,0.0003581666757031011
59,9.046012258529663,0.09996756717515279,0.11988859176635742,0.009248527383001831,218,61,627,"{'columntransformer__countvectorizer__max_features': 218, 'randomforestregressor__max_depth': 61, 'randomforestregressor__n_estimators': 627}",-0.09687488888293204,-0.09522302567810503,-0.09107680634570978,-0.10124367136609719,-0.09347469115610815,-0.09557861668579044,0.0034232268425332404,-0.034322225771607186,-0.035091591499011913,-0.035141699020382174,-0.03389396666156687,-0.035001052587070376,-0.034690107107927706,0.000496183101409633
60,8.736837530136109,0.09824320718243702,0.11868891716003419,0.01313096956304702,281,58,603,"{'columntransformer__countvectorizer__max_features': 281, 'randomforestregressor__max_depth': 58, 'randomforestregressor__n_estimators': 603}",-0.09703899604356274,-0.09512491718848079,-0.0908124544105525,-0.10142215354646185,-0.09357209462744508,-0.0955941231633006,0.003556028838319395,-0.034904105381686,-0.03566791969454295,-0.03615748639802113,-0.03468279778272525,-0.03561059215700292,-0.03540458028279565,0.0005385352839854282
61,9.167986202239991,0.09817566779298832,0.11532988548278808,0.0040691780619557276,405,46,635,"{'columntransformer__countvectorizer__max_features': 405, 'randomforestregressor__max_depth': 46, 'randomforestregressor__n_estimators': 635}",-0.09699854090005491,-0.09480507240222817,-0.09013219677832217,-0.10223070541152096,-0.09382127114541838,-0.09559755732750892,0.003990358363983522,-0.03747971698810263,-0.0395861824173991,-0.03974266541848621,-0.03753960528348346,-0.039168176025901565,-0.038703269226674594,0.00099269454829498
62,3.157497835159302,0.03325222885612785,0.09087610244750977,0.008044685224129444,225,48,226,"{'columntransformer__countvectorizer__max_features': 225, 'randomforestregressor__max_depth': 48, 'randomforestregressor__n_estimators': 226}",-0.09681715690161108,-0.09488997726979609,-0.09054760951220754,-0.10180915802182913,-0.09393525377226691,-0.09559983109554214,0.0037104521568626764,-0.03615411749722747,-0.03814714450925956,-0.038640621158189115,-0.03612119119869,-0.03770714780611034,-0.0373540444338953,0.0010362163038096107
63,8.708143091201782,0.09365268996770168,0.11748690605163574,0.007953417674459114,317,81,574,"{'columntransformer__countvectorizer__max_features': 317, 'randomforestregressor__max_depth': 81, 'randomforestregressor__n_estimators': 574}",-0.09686927944377179,-0.09537049837878658,-0.09097842678348161,-0.10119771177373858,-0.09367211421254697,-0.0956176061184651,0.003407997979178955,-0.03387305472823916,-0.03421363817771154,-0.03457818570148488,-0.03380696925082955,-0.034066966290814675,-0.034107762829815966,0.0002755853026490944
64,11.139331007003785,0.16274724422217224,0.13556880950927735,0.0037032526993811305,273,94,755,"{'columntransformer__countvectorizer__max_features': 273, 'randomforestregressor__max_depth': 94, 'randomforestregressor__n_estimators': 755}",-0.09660528938382344,-0.09484769790247985,-0.09074001977606588,-0.10160613663583888,-0.09430549026019064,-0.09562092679167974,0.0035480478032283978,-0.033790786151237026,-0.0342699616759987,-0.03412584166253634,-0.033620835837430266,-0.03401558807904622,-0.03396460268124972,0.00023247772562728125
65,2.74346923828125,0.059625929689742424,0.08417687416076661,0.011861146856159474,375,79,166,"{'columntransformer__countvectorizer__max_features': 375, 'randomforestregressor__max_depth': 79, 'randomforestregressor__n_estimators': 166}",-0.09748449641777941,-0.09500209277476401,-0.09041031027748662,-0.10128399044423203,-0.09395786703556618,-0.09562775138996565,0.003628834428831107,-0.034311464199529684,-0.03431274377872518,-0.034681204211453105,-0.03384827473885341,-0.03423415850781407,-0.034277569087275084,0.0002651360281136842
66,13.404116821289062,0.17768442178237748,0.15939068794250488,0.005420385849696136,264,49,986,"{'columntransformer__countvectorizer__max_features': 264, 'randomforestregressor__max_depth': 49, 'randomforestregressor__n_estimators': 986}",-0.09687916973956491,-0.0952736953973593,-0.09074326211525094,-0.10112178290192293,-0.09412389158199617,-0.09562836034721886,0.0034057484853899055,-0.03619594242928711,-0.03812223196025524,-0.03827491319499934,-0.03629123339844823,-0.03803840864257645,-0.037384545925113276,0.0009351557695131923
