rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_svr__C,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
50,0.3507969856262207,0.018563585084812664,0.08110213279724121,0.008693959227476377,336,0.1651217067653553,0.2559235557490051,"{'columntransformer__countvectorizer__max_features': 336, 'svr__C': 0.1651217067653553, 'svr__gamma': 0.2559235557490051}",-0.117757749469324,-0.11631457270268389,-0.10371335793120309,-0.1253695081426405,-0.10154194478713145,-0.11293942660659657,0.008990413877016233,-0.0765618593002925,-0.07726771373837722,-0.0797835861430457,-0.07511861856651003,-0.07996579060859753,-0.0777395136713646,0.0018768642687132435
51,0.3391995906829834,0.009781289098525795,0.10514359474182129,0.007794885312999414,300,4.8131544682687375,0.3987161675895086,"{'columntransformer__countvectorizer__max_features': 300, 'svr__C': 4.8131544682687375, 'svr__gamma': 0.3987161675895086}",-0.11852261781527434,-0.11640530349763077,-0.10375511728194964,-0.12388759100232735,-0.10333315585585418,-0.11318075709060724,0.008238779082208846,-0.029522171156101923,-0.029643984087861133,-0.02943852642030819,-0.029131664445146376,-0.02981597194224326,-0.029510463610332178,0.00022801925018235193
52,0.3416421413421631,0.017152569063408223,0.08061699867248535,0.0037344728683021957,297,0.09113112659497054,0.0032825527566018157,"{'columntransformer__countvectorizer__max_features': 297, 'svr__C': 0.09113112659497054, 'svr__gamma': 0.0032825527566018157}",-0.12066355847361827,-0.11979072804074173,-0.10682104952525508,-0.12646382255305805,-0.10403268218646862,-0.11555436815582835,0.008626550502985478,-0.11193268412525999,-0.11192236755710126,-0.11674928989117668,-0.11219527870263345,-0.11640573209059879,-0.11384107047335404,0.0022390720971049325
53,0.330582857131958,0.007961873102787603,0.0909639835357666,0.02014195931396425,400,0.12235646815506826,0.002069064426902789,"{'columntransformer__countvectorizer__max_features': 400, 'svr__C': 0.12235646815506826, 'svr__gamma': 0.002069064426902789}",-0.1212961037314656,-0.12039931814460482,-0.10715711067530727,-0.12674416913984218,-0.10446946367249647,-0.11601323307274325,0.00864857178284371,-0.11264474212279445,-0.11263629759872543,-0.11733267724724279,-0.11278228488020982,-0.11718588227701636,-0.11451637682519775,0.002240651541638077
54,0.349412727355957,0.013645103112384337,0.07676963806152344,0.0017824175231529323,413,0.17100234917743176,0.35113872696217135,"{'columntransformer__countvectorizer__max_features': 413, 'svr__C': 0.17100234917743176, 'svr__gamma': 0.35113872696217135}",-0.12120846246288294,-0.12004226315042713,-0.10753755498677478,-0.12872837421135797,-0.10458074626166725,-0.116419480214622,0.00901789327901938,-0.07661000090626496,-0.07692912002434064,-0.07945095968562323,-0.07492710424154059,-0.07975613914538274,-0.07753466480063043,0.0018236334178555807
55,0.354970121383667,0.023115805156723873,0.1004866123199463,0.013759929164153268,101,289.8310717369359,0.5575744788582225,"{'columntransformer__countvectorizer__max_features': 101, 'svr__C': 289.8310717369359, 'svr__gamma': 0.5575744788582225}",-0.12219099279769527,-0.12013656836515833,-0.10732505047201754,-0.12685526197337726,-0.10589854189884441,-0.11648128310141856,0.008359573435711698,-0.029638767662708846,-0.0295922661542727,-0.029277962642961,-0.02907969634941634,-0.02995396931981224,-0.029508532425834226,0.00030313343132372194
56,0.3440403461456299,0.015660537212358137,0.08047833442687988,0.012577960357671404,360,0.032721128100458616,0.007405494762554089,"{'columntransformer__countvectorizer__max_features': 360, 'svr__C': 0.032721128100458616, 'svr__gamma': 0.007405494762554089}",-0.12220297152710546,-0.12169810615695788,-0.10802634696365729,-0.12860181352445998,-0.10442173104459354,-0.11699019384335482,0.009192214196350326,-0.11356761620146992,-0.11394279573267142,-0.1181027207045164,-0.11391350937817167,-0.11689453130249414,-0.1152842346638647,0.001852676117734752
57,0.3609766483306885,0.02500817088481037,0.07945132255554199,0.007978451353144313,347,4.3561146335304,0.5224771080300212,"{'columntransformer__countvectorizer__max_features': 347, 'svr__C': 4.3561146335304, 'svr__gamma': 0.5224771080300212}",-0.12265661447067465,-0.12113236320034902,-0.10807005506010589,-0.12807916189682442,-0.10627038454626503,-0.1172417158348438,0.00856035014372646,-0.029830719984057775,-0.029769854952831735,-0.029214111589270092,-0.028957736984828515,-0.030068244533518754,-0.029568133608901377,0.000414166553695456
58,0.35541696548461915,0.03328756178638705,0.09361109733581544,0.012630142119025094,115,0.01844611638935616,0.014279043776627108,"{'columntransformer__countvectorizer__max_features': 115, 'svr__C': 0.01844611638935616, 'svr__gamma': 0.014279043776627108}",-0.12260823104975264,-0.12207193347136992,-0.10726881455041984,-0.12961679588215924,-0.10510028031542623,-0.11733321105382558,0.009508989996535678,-0.11421359114610341,-0.11441061931883895,-0.1173417698662686,-0.11440527432484812,-0.11756748526873374,-0.11558774798495856,0.001527621376134272
59,0.37250509262084963,0.0432989863543374,0.09007601737976074,0.013106269522716938,430,55.00457445552852,0.5323644754169701,"{'columntransformer__countvectorizer__max_features': 430, 'svr__C': 55.00457445552852, 'svr__gamma': 0.5323644754169701}",-0.12299086016334586,-0.12170343895962189,-0.10850033480016874,-0.12844735097940718,-0.10664452617934851,-0.11765730221637845,0.00856007597548677,-0.02986092181013801,-0.029772928279070604,-0.029223404336373857,-0.028945915785723024,-0.030146464886692717,-0.029589927019599636,0.0004394886532445894
