rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_kneighborsregressor__leaf_size,param_kneighborsregressor__n_neighbors,param_kneighborsregressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
85,0.10626912117004395,0.009634996920062217,0.051656579971313475,0.008627975814903618,430,343.5999149355384,81,uniform,"{'columntransformer__countvectorizer__max_features': 430, 'kneighborsregressor__leaf_size': 343.5999149355384, 'kneighborsregressor__n_neighbors': 81, 'kneighborsregressor__weights': 'uniform'}",0.10598533303126456,0.11421722279575097,0.10595390329379173,0.07683228067700132,0.12416453241797054,0.10543065444315583,0.01578993608064673
86,0.11294288635253906,0.011017372695678256,0.04247374534606933,0.008104783908358549,187,415.78368881335706,97,distance,"{'columntransformer__countvectorizer__max_features': 187, 'kneighborsregressor__leaf_size': 415.78368881335706, 'kneighborsregressor__n_neighbors': 97, 'kneighborsregressor__weights': 'distance'}",0.10482589576567303,0.11370802874798303,0.10354648845735459,0.07297251881222211,0.12139220911283499,0.10328902817921355,0.01647907594945459
87,0.10614247322082519,0.009251612043772159,0.045174169540405276,0.005337686211042561,329,478.6824534751576,91,uniform,"{'columntransformer__countvectorizer__max_features': 329, 'kneighborsregressor__leaf_size': 478.6824534751576, 'kneighborsregressor__n_neighbors': 91, 'kneighborsregressor__weights': 'uniform'}",0.10087842311278938,0.10644555722079196,0.10301842444858478,0.06790141972026498,0.11774368676560643,0.0991975022536075,0.016693501634163672
88,0.11081643104553222,0.00912194336426106,0.050972700119018555,0.005400661529214268,111,67.11100565184586,85,uniform,"{'columntransformer__countvectorizer__max_features': 111, 'kneighborsregressor__leaf_size': 67.11100565184586, 'kneighborsregressor__n_neighbors': 85, 'kneighborsregressor__weights': 'uniform'}",0.10604858077506285,0.10361571035919026,0.09835568286177243,0.06902451320364467,0.10804728645197514,0.09701835473032908,0.014367679204281086
89,0.1147500991821289,0.017031813130755837,0.0377751350402832,0.004649906648078215,324,305.01199200484393,95,uniform,"{'columntransformer__countvectorizer__max_features': 324, 'kneighborsregressor__leaf_size': 305.01199200484393, 'kneighborsregressor__n_neighbors': 95, 'kneighborsregressor__weights': 'uniform'}",0.10024124799971257,0.09893673262189517,0.10265760700562943,0.06512039928490487,0.1164579566055074,0.09668278870352989,0.016974587128158154
90,0.10543622970581054,0.016237964834212002,0.03748831748962402,0.003907167182777095,293,103.26800242970019,96,uniform,"{'columntransformer__countvectorizer__max_features': 293, 'kneighborsregressor__leaf_size': 103.26800242970019, 'kneighborsregressor__n_neighbors': 96, 'kneighborsregressor__weights': 'uniform'}",0.09753511374765522,0.09980489009021154,0.10187168420158199,0.061177137148722194,0.11586520887578688,0.09525080681279156,0.018197594823814965
91,0.10419597625732421,0.023782466509156996,0.042484283447265625,0.005645064154175238,281,428.99359317469145,97,uniform,"{'columntransformer__countvectorizer__max_features': 281, 'kneighborsregressor__leaf_size': 428.99359317469145, 'kneighborsregressor__n_neighbors': 97, 'kneighborsregressor__weights': 'uniform'}",0.09795936632292568,0.0985650075286919,0.10101322485949649,0.060071657415405655,0.11734036452522889,0.09498992413034972,0.018850498646640144
92,0.09845242500305176,0.00826081428958365,0.04754509925842285,0.011271742210946371,112,313.724302673977,6,uniform,"{'columntransformer__countvectorizer__max_features': 112, 'kneighborsregressor__leaf_size': 313.724302673977, 'kneighborsregressor__n_neighbors': 6, 'kneighborsregressor__weights': 'uniform'}",0.11997893765627643,0.13036250075567402,0.09800222469410447,0.005421104101139718,0.046049949967194026,0.07996294343487773,0.04727237624068564
93,0.10606355667114258,0.012211666969828564,0.05113563537597656,0.005501877833513436,234,168.5169590673441,5,distance,"{'columntransformer__countvectorizer__max_features': 234, 'kneighborsregressor__leaf_size': 168.5169590673441, 'kneighborsregressor__n_neighbors': 5, 'kneighborsregressor__weights': 'distance'}",0.15678477573950722,0.14827684556887666,0.07920714618390623,0.0053970480787004504,-0.045242229624604224,0.06888471718927727,0.07898319694755135
94,0.09837756156921387,0.014626105255649547,0.043974876403808594,0.00879966806667351,225,439.6729924912458,5,uniform,"{'columntransformer__countvectorizer__max_features': 225, 'kneighborsregressor__leaf_size': 439.6729924912458, 'kneighborsregressor__n_neighbors': 5, 'kneighborsregressor__weights': 'uniform'}",0.14596021093878742,0.153850691560952,0.09262593993325918,-0.009610057571688868,-0.0423825970556424,0.06808883756113346,0.08032704645034357
95,0.1034609317779541,0.024280223420336706,0.04678258895874023,0.007785073129391256,101,395.15321019755004,5,distance,"{'columntransformer__countvectorizer__max_features': 101, 'kneighborsregressor__leaf_size': 395.15321019755004, 'kneighborsregressor__n_neighbors': 5, 'kneighborsregressor__weights': 'distance'}",0.0783286230581518,0.09499587154478162,0.03686450090336546,-0.03372518990438178,-0.03743172865478961,0.0278064153894255,0.055120085790424767
96,0.15905003547668456,0.016921588612596013,0.04901399612426758,0.010567345606195933,213,302.8360749686735,4,uniform,"{'columntransformer__countvectorizer__max_features': 213, 'kneighborsregressor__leaf_size': 302.8360749686735, 'kneighborsregressor__n_neighbors': 4, 'kneighborsregressor__weights': 'uniform'}",0.09133141948803392,0.11320910054122169,0.02292324805339252,-0.042876710596501555,-0.08975158217570689,0.018967095062087935,0.077172805147301
97,0.12949781417846679,0.01649695460799612,0.05400772094726562,0.017464598334110727,406,452.2742432835996,3,distance,"{'columntransformer__countvectorizer__max_features': 406, 'kneighborsregressor__leaf_size': 452.2742432835996, 'kneighborsregressor__n_neighbors': 3, 'kneighborsregressor__weights': 'distance'}",0.055369294420806514,0.12844823569869113,-0.03791409457367845,-0.05482619618822171,-0.14608197767959719,-0.01100094766439994,0.09459697493026262
98,0.12104768753051758,0.019899813341205816,0.0441925048828125,0.005082041028625646,300,99.48730842452086,3,distance,"{'columntransformer__countvectorizer__max_features': 300, 'kneighborsregressor__leaf_size': 99.48730842452086, 'kneighborsregressor__n_neighbors': 3, 'kneighborsregressor__weights': 'distance'}",0.048373260416070596,0.10178087040737593,-0.028717915625273926,-0.10222336608815197,-0.15889370066634756,-0.027936170311265385,0.09520369027465633
99,0.10198764801025391,0.011316092027280483,0.04373259544372558,0.007752390714345171,195,116.33570989964554,2,distance,"{'columntransformer__countvectorizer__max_features': 195, 'kneighborsregressor__leaf_size': 116.33570989964554, 'kneighborsregressor__n_neighbors': 2, 'kneighborsregressor__weights': 'distance'}",-0.09479325531983007,-0.10703733411055327,-0.2751415267509376,-0.18243263472330096,-0.507875401349128,-0.23345603045074997,0.1515626013427965
100,0.09842557907104492,0.017511974764912366,0.03174633979797363,0.001624988090586102,356,233.67063793765087,1,distance,"{'columntransformer__countvectorizer__max_features': 356, 'kneighborsregressor__leaf_size': 233.67063793765087, 'kneighborsregressor__n_neighbors': 1, 'kneighborsregressor__weights': 'distance'}",-0.28868126636515123,-0.41666905300535495,-0.4417263626251393,-0.3974883661044384,-0.9414460845916841,-0.49720222653835366,0.22818396689009934
